"Inc_ID","UOF","Date","Beat","Cad","Inc_RD","longitude","latitude","Incident_ID","Force_Type","Force_Type_Level"
7318,"13F-0484","7/2/2013",31,456,"13-033635",-122.198942,37.7264021,7318,22,4
7318,"13F-0484","7/2/2013",31,456,"13-033635",-122.198942,37.7264021,7318,22,4
7318,"13F-0484","7/2/2013",31,456,"13-033635",-122.198942,37.7264021,7318,22,4
7318,"13F-0484","7/2/2013",31,456,"13-033635",-122.198942,37.7264021,7318,22,4
7318,"13F-0484","7/2/2013",31,456,"13-033635",-122.198942,37.7264021,7318,22,4
7318,"13F-0484","7/2/2013",31,456,"13-033635",-122.198942,37.7264021,7318,22,4
7318,"13F-0484","7/2/2013",31,456,"13-033635",-122.198942,37.7264021,7318,22,4
7318,"13F-0484","7/2/2013",31,456,"13-033635",-122.198942,37.7264021,7318,22,4
7319,"13F-0447","7/2/2013",6,923,"13-033471",-122.2730998,37.8219661,7319,22,4
7319,"13F-0447","7/2/2013",6,923,"13-033471",-122.2730998,37.8219661,7319,22,4
7320,"13F-0494","7/3/2013",34,94,"13-033784",-122.1725366,37.7472129,7320,22,4
7321,"13F-0460","7/3/2013",15,667,"13-033889",-122.2530644,37.8026004,7321,22,4
7321,"13F-0460","7/3/2013",15,667,"13-033889",-122.2530644,37.8026004,7321,22,4
7322,"13F-0473","7/3/2013",34,830,"13-033901",-122.1622615,37.7581305,7322,22,4
7323,"13F-0459","7/3/2013",8,1024,"13-033938",-122.2682763,37.8146726,7323,"26-21",4
7324,"13F-0476","7/4/2013",26,194,"13-033972",-122.18951,37.759701,7324,22,4
7324,"13F-0476","7/4/2013",26,194,"13-033972",-122.18951,37.759701,7324,22,4
7324,"13F-0476","7/4/2013",26,194,"13-033972",-122.18951,37.759701,7324,22,4
7324,"13F-0476","7/4/2013",26,194,"13-033972",-122.18951,37.759701,7324,22,4
7325,"13F-0469","7/4/2013",6,543,"13-034042",-122.2715856,37.8124886,7325,23,4
